title,price,rooms,area,parking,bathrooms,tax,condominium_fee,link,city,neighborhood
Alugo,2500,1.0,35.0,1.0,1.0,68.0,370.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-1328028190,Curitiba,Centro
Kitinet sem avalista direto proprietario para solteiro(a),1500,1.0,25.0,,1.0,1.0,1.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/kitinet-sem-avalista-direto-proprietario-para-solteiro-a-1295691095,Curitiba,Boqueirão
Apto Eco Nature Residence,1850,2.0,50.0,1.0,1.0,650.0,500.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apto-eco-nature-residence-1323315657,Paranaguá,Parque São João
Alugo Apartamento 2 quartos Garden no Bigorrilho,2700,2.0,87.0,1.0,2.0,1400.0,700.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/alugo-apartamento-2-quartos-garden-no-bigorrilho-1316437301,Curitiba,Bigorrilho
Apartamento no São Braz,1650,2.0,55.0,1.0,1.0,50.0,490.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-no-sao-braz-1332740051,Curitiba,São Braz
Apartamento mobiliado Sítio Cercado,1799,2.0,50.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-mobiliado-sitio-cercado-1332738445,Curitiba,Sítio Cercado
APARTAMENTO com 1 dormitório à venda com 50m² no bairro Santa Felicidade - CURITIBA / PR,1670,1.0,50.0,,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-dormitorio-a-venda-com-50m-no-bairro-santa-felicidade-curitiba-pr-1332738307,Curitiba,Santa Felicidade
"APARTAMENTO NOVO, DECORADO, SEMI-MOBILIADO , 3 QUARTOS E ESCRITÓRIO NO BOSCO CENTRALE",6750,3.0,107.0,1.0,3.0,270.0,900.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-novo-decorado-semi-mobiliado-3-quartos-e-escritorio-no-bosco-centrale-1332724685,Curitiba,Centro
Apartamento para locação região central,1500,1.0,32.0,,1.0,90.0,490.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-regiao-central-1314237512,Curitiba,Jardim Botânico
Imóvel para aluguel com 18 metros quadrados em Centro - Curitiba - PR,1420,1.0,18.0,,1.0,189.0,235.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/imovel-para-aluguel-com-18-metros-quadrados-em-centro-curitiba-pr-1332722518,Curitiba,Centro
Ensolarado na Clóvis Beviláqua,24000,4.0,368.0,4.0,5.0,9172.0,7793.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/ensolarado-na-clovis-bevilaqua-1332720611,Curitiba,Cabral
Apartamento para Locação/Venda em Araucária,2000,3.0,59.0,1.0,1.0,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-para-locacao-venda-em-araucaria-1332709267,Araucária,Centro
"Apartamento com 3 quartos para alugar por R$ 1700.00, 72.18 m2 - CAJURU - CURITIBA/PR",1700,3.0,72.0,2.0,2.0,98.0,280.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-quartos-para-alugar-por-r-1700-00-72-18-m2-cajuru-curitiba-pr-1332703214,Curitiba,Cajuru
"Apartamento com 3 quartos para alugar por R$ 2250.00, 74.21 m2 - REBOUCAS - CURITIBA/PR",2250,3.0,74.0,1.0,1.0,64.0,490.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-3-quartos-para-alugar-por-r-2250-00-74-21-m2-reboucas-curitiba-pr-1332702930,Curitiba,Rebouças
"Apartamento com 1 quarto para alugar por R$ 1600.00, 21.07 m2 - CENTRO - CURITIBA/PR",1600,1.0,21.0,,1.0,,313.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/imoveis/apartamento-com-1-quarto-para-alugar-por-r-1600-00-21-07-m2-centro-curitiba-pr-1332702804,Curitiba,Centro
